id,hi_int_prncp_pd,acc_now_delinq,acc_open_past_24mths,addr_state,annual_inc,application_type,avg_cur_bal,bc_util,delinq_2yrs,delinq_amnt,dti,earliest_cr_line,emp_length,emp_title,grade,home_ownership,initial_list_status,int_rate,last_credit_pull_d,loan_amnt,mort_acc,num_sats,num_tl_120dpd_2m,num_tl_90g_dpd_24m,num_tl_30dpd,out_prncp_inv,pub_rec,pub_rec_bankruptcies,purpose,sub_grade,term,tot_coll_amt,tot_cur_bal,total_rec_late_fee,verification_status
3819,0,0,2,CT,21120,Individual,3662,86.1,0,0,33.69,2010,1,Security Guard,C,RENT,w,12.62,2019,7000,0,18,0,0,0,3828.54,0,0,debt_consolidation,C1,36,0,65921,0,1
3820,0,0,3,CA,32400,Individual,2973,30.2,0,0,15.78,1975,3,Security Guard,C,OWN,w,11.99,2016,16200,2,8,0,0,0,0,3,2,debt_consolidation,C1,36,0,17840,0,0
3821,0,0,3,NY,30251,Individual,1983,46.2,0,0,20.04,2010,2,Security Guard,B,RENT,w,11.49,2018,9600,0,10,0,0,0,0,0,0,debt_consolidation,B5,36,0,19829,0,1
3822,0,0,1,NJ,66976,Individual,1638,77.4,0,0,8.58,2012,1,Security Guard,C,OWN,w,12.62,2019,12000,0,6,0,0,0,9665.27,0,0,debt_consolidation,C1,60,0,9830,0,1
3823,0,0,2,MO,125000,Individual,577,0,0,0,2.34,1982,10,Administrator,A,MORTGAGE,w,6.49,2019,24000,4,13,0,0,0,11358.24,0,0,debt_consolidation,A2,60,0,6924,0,1
3824,0,0,19,CO,95000,Individual,6679,14,0,0,22.12,2004,3,Administrator,B,MORTGAGE,w,9.93,2019,10000,2,45,0,0,0,0,1,1,debt_consolidation,B2,36,0,300577,0,1
3825,0,0,8,CO,79000,Individual,18615,83.6,0,0,20.63,2002,8,Administrator,B,OWN,f,11.44,2018,15000,2,28,0,0,0,0,0,0,credit_card,B4,36,0,521212,0,0
3826,0,0,5,FL,51000,Individual,3418,93.2,0,0,26.47,2003,2,Administrator,C,RENT,w,12.29,2018,4000,0,9,0,0,0,0,0,0,credit_card,C1,36,0,30758,0,0
3827,0,0,8,IL,75500,Individual,7046,48.1,0,0,37.01,2004,1,Administrator,B,RENT,w,11.31,2019,22600,0,23,0,0,0,21534.57,1,1,debt_consolidation,B3,36,0,155020,0,1
3828,0,0,2,CA,175000,Individual,4422,99.1,0,0,7.71,1997,10,Administrator,A,RENT,w,6.49,2019,20000,0,5,0,0,0,0,4,0,debt_consolidation,A2,36,0,22111,0,0
